
> Task :compileJava

> Task :processResources NO-SOURCE
> Task :classes

> Task :run
algorithmName,arraySize,arrayType,shufflePercentage,isInverted,timeTaken
assignment1.BubbleSortUntilNoChange@330bedb4,37726,Integer,50,false,9031861952
assignment1.BubbleSortWhileNeeded@2503dbd3,37726,Integer,50,false,5457015899
assignment1.BubbleSortPassPerItem@14dad5dc,37726,Integer,75,false,8846446906
assignment1.BubbleSortUntilNoChange@330bedb4,37726,Integer,75,false,9626532671
assignment1.BubbleSortWhileNeeded@2503dbd3,37726,Integer,75,false,6004348815
assignment1.BubbleSortPassPerItem@14dad5dc,30362,Integer,100,true,4794991151
assignment1.BubbleSortUntilNoChange@330bedb4,30362,Integer,100,true,4991921749
assignment1.BubbleSortWhileNeeded@2503dbd3,30362,Integer,100,true,2845682047
assignment1.BubbleSortPassPerItem@14dad5dc,30362,Integer,25,false,5071156848
assignment1.BubbleSortUntilNoChange@330bedb4,30362,Integer,25,false,5564639688
assignment1.BubbleSortWhileNeeded@2503dbd3,30362,Integer,25,false,3274130569
assignment1.BubbleSortPassPerItem@14dad5dc,30362,Integer,50,false,5272463187
assignment1.BubbleSortUntilNoChange@330bedb4,30362,Integer,50,false,5788036459
assignment1.BubbleSortWhileNeeded@2503dbd3,30362,Integer,50,false,3478000078
assignment1.BubbleSortPassPerItem@14dad5dc,30362,Integer,75,false,5649883986
assignment1.BubbleSortUntilNoChange@330bedb4,30362,Integer,75,false,6164449149
assignment1.BubbleSortWhileNeeded@2503dbd3,30362,Integer,75,false,3822684202
assignment1.BubbleSortPassPerItem@14dad5dc,47669,Integer,100,true,12551462870
assignment1.BubbleSortUntilNoChange@330bedb4,47669,Integer,100,true,13094981925
assignment1.BubbleSortWhileNeeded@2503dbd3,47669,Integer,100,true,7849747746
assignment1.BubbleSortPassPerItem@14dad5dc,47669,Integer,25,false,13052185743
assignment1.BubbleSortUntilNoChange@330bedb4,47669,Integer,25,false,14161333959
assignment1.BubbleSortWhileNeeded@2503dbd3,47669,Integer,25,false,8473491695
assignment1.BubbleSortPassPerItem@14dad5dc,47669,Integer,50,false,13570323386
assignment1.BubbleSortUntilNoChange@330bedb4,47669,Integer,50,false,14732436999
assignment1.BubbleSortWhileNeeded@2503dbd3,47669,Integer,50,false,9022968143
assignment1.BubbleSortPassPerItem@14dad5dc,47669,Integer,75,false,14511317784
